,time,fav_count,id,lang,possibly_sensitive,source,text,user.id,user.name,user.handle,user.location,classifier_dilbert.label,classifier_dilbert.score,classifier_bert.label,classifier_bert.score
0,Tue Nov 29 15:30:15 +0000 2022,0,1.6e+18,en,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",@tersthebear So so happy this post came to you at the right time! Hope you're feeling a bit better after reading it,87674057.0,Maddy Eisenberg (vaccines work 💉),maddyeisenberg,"Ottawa, Ontario",POSITIVE,0.9996653795242311,5 stars,0.705693781375885
0,Tue Nov 29 15:30:15 +0000 2022,0,1.6e+18,en,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@RoughChopOttawa Gotta love the memorial graphic that Sgt Maria Keen (@sgtonpatrol) shared recently. In addition to… https://t.co/5EARj3J4kB,207664048.0,mhbvickers@mas.to - Michael H Vickers,mhbvickers,"Ottawa, Ontario",POSITIVE,0.961683094501495,5 stars,0.555300533771514
0,Tue Nov 29 15:30:11 +0000 2022,0,1.6e+18,en,False,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","Do you want to win a NYC Holiday Getaway to see @mariahcarey at Madison Square Garden and $10,000!? 

Tune in to MO… https://t.co/0Mj9JRhG5V",49643962.0,Ottawa’s MOVE 100,Move100Ottawa,Ottawa,POSITIVE,0.976744711399078,1 star,0.414111822843551
0,Tue Nov 29 15:30:10 +0000 2022,0,1.6e+18,en,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@Partyof3blog You too, my friend. 💜",37109075.0,Mx. Amanda Jetté Knox,MavenOfMayhem,"Ottawa, Canada",POSITIVE,0.9961254000663751,5 stars,0.64390629529953
0,Tue Nov 29 15:30:09 +0000 2022,0,1.6e+18,en,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",@Sethalos @TorontoStar About what ?,1576301246.0,lindylou,stephen_belinda,Ottawa Ontario,NEGATIVE,0.9045769572257991,1 star,0.399026691913604
0,Tue Nov 29 15:30:07 +0000 2022,0,1.6e+18,en,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@smwgilbert will you help me with a RT? 

https://t.co/rpv5ikYyWa https://t.co/iy7e0tnm7d",1.22e+18,Ava-OTO,Onlytakesone20,"Ottawa, Ontario",NEGATIVE,0.994827687740325,1 star,0.253800868988037
0,Tue Nov 29 15:30:06 +0000 2022,0,1.6e+18,en,False,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","The #K4DM22 Marketplace continues this week with policy-relevant research updates on #ClimateChange, gender equalit… https://t.co/rsvWTvZ2SW",40065170.0,IDRC | CRDI,IDRC_CRDI,Ottawa,POSITIVE,0.7226260304450981,4 stars,0.442195177078247
0,Tue Nov 29 15:30:06 +0000 2022,0,1.6e+18,fr,False,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",Le marché #K4DM22 continue avec des mises à jour de recherches pertinentes pour les politiques sur les changements… https://t.co/KghRg2Syzd,40065170.0,IDRC | CRDI,IDRC_CRDI,Ottawa,NEGATIVE,0.9858734607696531,4 stars,0.44133689999580306
0,Tue Nov 29 15:30:05 +0000 2022,0,1.6e+18,en,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",@StephenRWade3 @TrueNorthCentre They fought each other.  That convoy should have been way more effective but too ma… https://t.co/ScB9LtDfgD,116055795.0,‘Unacceptable’ Steamer,AbbyKadebby,Ottawa,NEGATIVE,0.9991256594657891,3 stars,0.31404155492782504
0,Tue Nov 29 15:30:04 +0000 2022,0,1.6e+18,en,False,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","PODCAST: Wake Up with Rob Snow - November 29, 2022 https://t.co/1sRZR2hSBn",190738551.0,CityNews Ottawa,CityNewsOttawa,"Ottawa, Ontario",NEGATIVE,0.9700712561607361,1 star,0.283708870410919
0,Tue Nov 29 15:30:04 +0000 2022,0,1.6e+18,en,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@maritstiles If your budget is dependent on one time development fees to provide service, then your tax rate is too… https://t.co/7abBZj56he",1.58e+18,NU,OOOPSIDIDI,Ottawa,NEGATIVE,0.9990987777709961,1 star,0.330353707075119
0,Tue Nov 29 15:30:02 +0000 2022,0,1.6e+18,en,False,"<a href=""http://www.twittascope.com"" rel=""nofollow"">Twittascope</a>",You're probably eager to share a good time with friends today.... More for Aquarius https://t.co/xN5uNaZsre,164097337.0,Michele Bishop,MichMBishop,"Ottawa, ON",POSITIVE,0.994042336940765,3 stars,0.363568186759948
0,Tue Nov 29 15:29:58 +0000 2022,0,1.6e+18,und,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@LamboJohnny https://t.co/PkxDikG2Ix,184649744.0,Joseph Allaham,jo_stile,"Ottawa, Canada",NEGATIVE,0.9944955706596371,1 star,0.256473779678344
0,Tue Nov 29 15:29:56 +0000 2022,0,1.6e+18,en,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Do you remember when you joined Twitter? I do!  Faith, Family&amp; Freedom! https://t.co/R8I5qHLBWV",422806138.0,Dariusz Smulski,SmulskiDariusz,"Ottawa, Ontario",POSITIVE,0.9949485063552851,5 stars,0.670789957046508
0,Tue Nov 29 15:29:54 +0000 2022,0,1.6e+18,en,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","@Liz_Wheeler @elonmusk Everyone talking about apple taking Twitter off the App Store. 
But @tim_cook s @Apple App S… https://t.co/PS3MNMjgwh",363741368.0,Peierre Elliot Trudeau,BustinThrewDoh,"Ottawa, Ontario",NEGATIVE,0.9936840534210201,1 star,0.394751340150833
0,Tue Nov 29 15:29:52 +0000 2022,0,1.6e+18,en,False,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","cavey explory
#furryartwork #kobold https://t.co/EIMwhqAuDy",8.19e+17,🌻CrystalFenn🌻,CrystalFenn_,"Ottawa, Ontario",NEGATIVE,0.9950378537178041,1 star,0.31463500857353205
0,Tue Nov 29 15:29:48 +0000 2022,0,1.6e+18,en,False,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",I wish I lived in Rome!!! https://t.co/OWxvrOWX8k,1.37e+18,aaronrferguson.eth (he/him) 🇺🇦 | Слава Україні!,aaronrferguson,"Ottawa, ON Canada",NEGATIVE,0.990849614143371,1 star,0.317273288965225
0,Tue Nov 29 15:29:47 +0000 2022,0,1.6e+18,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@OttawaCitizen So the owner says that cheerleading girls primary purpose is to dress in skimpy outfits and are ther… https://t.co/pLGo10m8ux,137959796.0,Canadian | Masks Help Protect Lives,canadian_blues,"Ottawa, Canada",NEGATIVE,0.9973003268241881,3 stars,0.25286787748336703
0,Tue Nov 29 15:29:47 +0000 2022,1,1.6e+18,en,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@Tonyman21001 @rwtrask Lest we forget, the Habs already got a first-rd for taking Monahan, and could get another fo… https://t.co/wrv9uUtjA3",591948867.0,James Baxter,Baxfacts,"Ottawa, Canada",NEGATIVE,0.9990575909614561,4 stars,0.22754609584808302
0,Tue Nov 29 15:29:42 +0000 2022,0,1.6e+18,und,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",@CHKN85 @BlinksTale 👍,322715600.0,Owen Deery,owendeery,"Ottawa, ON",NEGATIVE,0.9689675569534301,5 stars,0.32234108448028503
0,Tue Nov 29 15:29:40 +0000 2022,0,1.6e+18,en,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@aaronrferguson Beer and doobs this week?,1.4100000000000003e+18,TAY 🦇🔊,0xTAY_,"Ottawa, Ontario",NEGATIVE,0.9852279424667351,1 star,0.34380289912223805
0,Tue Nov 29 15:29:36 +0000 2022,2,1.6e+18,lt,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Pristine Video #skateboarding #skatetwitter https://t.co/G4u2DlCb2G,587905990.0,SKATEBOARDING,SkaterGains,"Ottawa, Ontario",NEGATIVE,0.9834818243980401,5 stars,0.403041064739227
0,Tue Nov 29 15:29:34 +0000 2022,0,1.6e+18,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@strangebreed42 @Chukschiboy4 @EmodiMba Swears,1.56e+18,Emir of Onitsha,Official_Bukkie,"Ottawa, Ontario",NEGATIVE,0.9753921031951901,1 star,0.30495828390121404
0,Tue Nov 29 15:29:34 +0000 2022,0,1.6e+18,en,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Good morning ☀️ https://t.co/zDBebJQBBa,7.85e+17,Jean Goulard,jeangoulard1,"Ottawa, Ontario",POSITIVE,0.9945789575576781,5 stars,0.40920194983482305
0,Tue Nov 29 15:29:33 +0000 2022,0,1.6e+18,fa,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",چرا انقلاب دمکراتیک مردم ایران پیروز می‌شود؟ https://t.co/os5PF7oeFW,2324142124.0,mehdi garmroudi,MehdiMatt,"Ottawa, Ontario-canada",NEGATIVE,0.9316381812095641,1 star,0.252067029476165
0,Tue Nov 29 15:29:32 +0000 2022,0,1.6e+18,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@BaseballMomazon That being smart.. raising your voice doesn't do nothing,1.3e+18,SweetD,Habsgirl46,"Ottawa, Ontario",POSITIVE,0.6951802968978881,1 star,0.45908734202384904
0,Tue Nov 29 15:29:30 +0000 2022,0,1.6e+18,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@Haruko630770471 Anytime darling but i live in canada 🇨🇦,50864488.0,marc desbiens,spagnial,ottawa,POSITIVE,0.7591587305068971,5 stars,0.44019740819931
0,Tue Nov 29 15:29:27 +0000 2022,1,1.6e+18,fr,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",L'entraînement des #Sens débute à Kanata. Derick Brassard et Austin Watson sont absents.,24190618.0,Sylvain St-Laurent,Syl_St_Laurent,"Ottawa, Ontario",NEGATIVE,0.9975984692573541,3 stars,0.33367094397544805
0,Tue Nov 29 15:29:27 +0000 2022,0,1.6e+18,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",And for those wondering. The objective of underwear is to protect your pants from bodily fluids. Much like a cloth… https://t.co/PSCDRqHpQF,66052632.0,Justin Kelly,JustinKellyOTT,"Ottawa, Ontario",NEGATIVE,0.982124030590057,4 stars,0.38168060779571505
0,Tue Nov 29 15:29:26 +0000 2022,0,1.6e+18,en,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@ESA_EO @BAS_News Notice the lions face on the rebound of the submerged iceberg?,3093753331.0,Fox2,pfox6060,"Ottawa, Ontario",NEGATIVE,0.9841902852058411,1 star,0.38121891021728505
0,Tue Nov 29 15:29:26 +0000 2022,0,1.6e+18,en,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@RVAwonk @derya555 All this stuff: psyops, conspiracy theories, are cool in comics but in real life you just sound crazy.",1.07e+18,Craig Beckett,billsbahd,"Ottawa, Ontario",POSITIVE,0.9962559938430781,1 star,0.47522726655006403
0,Tue Nov 29 15:29:25 +0000 2022,0,1.6e+18,en,False,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","As we wind down our #HelpUsRise2022 campaign, check out the latest cities to make it on the CCFWE #proclamation map… https://t.co/5oCeaIGo0r",1.22e+18,Canadian Center For Women’s Empowerment (CCFWE),ccfwe,"Ottawa, Ontario",NEGATIVE,0.9616120457649231,5 stars,0.30370301008224404
0,Tue Nov 29 15:29:23 +0000 2022,0,1.6e+18,en,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","I mean, if even only a fraction of the bad news about COVID is true, we’re pretty f*cked. And people don’t seem eve… https://t.co/Ee2ZsPJllg",21220435.0,Rocket 57 @rocket57@mastodon.online,Rocket57,Ottawa/Gatineau,NEGATIVE,0.9775837659835811,2 stars,0.28160253167152405
0,Tue Nov 29 15:29:22 +0000 2022,0,1.6e+18,en,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@tattyoIdthing @221_Otsanda Oh yes, I do an exercise class that’s partly tai chi and it’s also very soothing as wel… https://t.co/XTgGjmxKQa",18697376.0,Sarah ❄️ 🎄 ❄️,sourcitruslady,Ottawa,POSITIVE,0.9946674108505241,4 stars,0.278429597616195
